title,date,text
Não há portas; há um caminho: a política.,27/02/2023,"Para libertar o país do arrastão esquerdista, a política é o caminho a ser seguido por quem ama o Brasil e a liberdade."
Qual o bem que pode vir disso?,13/02/2023,Um legítimo somatório de erros.
Mensagem aos senadores da República,30/01/2023,"De 2009 para cá o Senado foi comandado sucessivamente por Sarney, Eunício, Renan, Alcolumbre e Pacheco. E todos viram no que deu. Vão insistir nessa linha de atuação?"
Dez máximas e reflexões para democratas,23/01/2023,"O que se segue está dito para ser visto por democratas; se você não for, nem assista; se assistir, não se aborreça."
A grande preocupação de Lula,16/01/2023,A preocupação de Lula é realismo puro.  E explicita de modo realista o que já deveríamos estar fazendo na oposição.
Um erro terrível,09/01/2023,"Infelizmente, os eventos de ontem em Brasília serviram aos meios e fins do petismo e do STF."
"Minha paixão, meu chão",02/01/2023,Vamos escolher o ânimo ou o desânimo?
Tiranias e suas evidências,26/12/2022,Três fatos e uma conclusão inevitável. Verifique isso você mesmo.
Outorga da Medalha do Mérito Farroupilha a Percival Puggina,22/12/2022,Vídeo da cerimônia com protocolo e pronunciamentos meu e do deputado proponente da homenagem.
Inconformidade legítima e justificada,12/12/2022,Como esperar apatia diante do que se assistiu no país?
A falência orgânica do Estado de Direito,05/12/2022,As muitas evidências do estado de exceção com seus males habituais.
"“Fanáticos, terroristas, criminosos, selvagens, manés”",28/11/2022,"Bem ao contrário. Queremos é preservar nosso país de toda forma de tirania e brutalidade, protegendo, principalmente, os bens imateriais da civilização."
"""Não, mil vezes não!""",21/11/2022,Não podemos normalizar a atual situação institucional do país. Ela não é normal.
E os atos antidemocráticos dos tribunais?,14/11/2022,"Não podemos esquecer como tudo começou, se não, nada aprenderemos."
A democracia com cabresto,07/11/2022,"Estado de direito, liberdade e democracia teriam sido um santo remédio."
A hora mais grave,29/10/2022,Estamos testemunhando um dos momentos mais decisivos de nossa história.
Vamos pôr os erros na balança.,24/10/2022,"O erro de Roberto Jefferson é um detalhe, pequena minúcia, se aferido em balança com o uso abusivo que ministros do STF e do TSE vêm fazendo da Constituição e das leis da República. E com as vítimas que vão deixando pelo caminho."
E você pensa que nada tem a ver com isso?,11/10/2022,"Assista e, se concordar, envie a seus amigos omissos, isentos ou isentões."
O futuro começa agora,01/10/2022,O que não podemos perder nas urnas deste domingo.
A educação de nossos filhos e os revolucionários de contracheque,19/09/2022,Uma notícia má e uma boa sobre a educação na guerra cultural.
O mais lindo 7 de setembro,12/09/2022,Foi um brado retumbante por liberdade!
"""Brasil, o sequestro de tua grandeza""",05/09/2022,Consequências do uso político e ideológico do espaço educacional brasileiro.
"Ou são tiranos, ou são vassalos.",29/08/2022,São as duas vocações possíveis para quem aplaude o que vem acontecendo no Brasil.
Procurando pelo em ovo.,22/08/2022,"Mas como inventam coisas, meu Deus!"
Esse jornalismo não é inocente.,15/08/2022,Uma crítica ao jornalismo fake.
Por que a esquerda avança,08/08/2022,O Brasil e o mundo enfrentam dramáticas tensões políticas.
O incrível manifesto dos supostos patrões da Pátria,01/08/2022,Os donos do poder escolheram seu lado.
Desinformar para manipular,25/07/2022,Confiabilidade da população no sistema eleitoral. Como vem sendo feito para que as notícias sobre essas pesquisas não reflitam seus resultados.
Pessoas e coisas em que não confio.,19/07/2022,O direito de não confiar é inerente às liberdades de opinião e expressão.
Eleição não é passeio na feira.,27/06/2022,A conta vem para quem escolhe e para quem não escolhe.
Jogos de cena e a lição dos fundadores dos EUA.,23/06/2022,"Republicação a pedido, de um vídeo anterior."
"Fundão rico, democracia pobre.",20/06/2022,Uma visão realista do que acontece com a democracia em tempos de fundão.
O Poder Moderador e a Constituição de 1988,16/06/2022,"Atendendo pedidos, estou postando novamente este vídeo de novembro do ano passado."
E disto NÃO se fala?,13/06/2022,Como um erro não corrigido cobra silêncio e dá causa a outros.
"Sobre mitos, falsos Coringas e supostos Batmen,",06/06/2022,Bolsonaro é mito para muitos de seus inimigos.
O incrível manifesto dos supostos patrões da Pátria.,01/06/2022,Os donos do poder escolheram seu lado.
O que sua intuição lhe diz?,30/05/2022,A maior parte de nossas decisões são tomadas com base em intuições. Desconsiderá-las costuma ser imprudente.
"Diversidade para tudo, exceto para opiniões.",23/05/2022,Considerações sobre a etapa final do emprego da diversidade como pauta política.
Nós somos a resistência,16/05/2022,O silêncio da sociedade alimenta as tiranias.
O descondenado não descometeu os crimes.,09/05/2022,Considerações sobre o estado de inocência.
Quando as instituições não cumprem seu papel.,02/05/2022,O desastre institucional que o lastimável jornalismo brasileiro faz questão de não ver está transformando o Estado em algoz da sociedade.
"""Daniel Silveira, a justiça em self-service e a graça""",25/04/2022,"Com a Justiça agindo em autosserviço, a pena aplicada a Daniel Silveira só poderia atingir a absurda desproporção que adquiriu."
Vinte motivos para não votar em branco.,18/04/2022,"Dentre muitas, selecionei um pacote de vinte gravíssimas consequências que podem decorrer da omissão, em outubro, de eleitores que não sejam de esquerda."
"Em outubro, falará a última instância.",04/04/2022,A  solução do desequilíbrio institucional brasileiro depende da intensa ação política dos cidadãos em relação aos pleitos de outubro.
A solução que virou um problemão.,28/03/2022,Os que causaram esse desastre confessam a autoria ao defender Paulo Freire como seu patrono.
A verdade sobre o semipresidencialismo de Arthur Lira,21/03/2022,Saiba por que o semipresidencialismo não vai resolver nosso problema institucional.
A última proeza do senador Rodrigo Pacheco,14/03/2022,O omisso mineiro aprontou mais uma das suas contra impeachments.
O que nunca te contaram sobre nosso sistema eleitoral,07/03/2022,"Conheça o defeito essencial do nosso sistema de eleição parlamentar, razão de muitos de nossos males como nação."
O TIRANO PUTIN E A DE CADÊNCIA DO OCIDENTE,28/02/2022,"A decadência do Ocidente, que perde o respeito das demais culturas, estimula a belicosidade natural de tiranos internos e externos. Nem o Brasil escapa."
A ESTRATÉGIA DA ESQUERDA,21/02/2022,"Essa estratégia precisa ser bem identificada porque é nela que se deve concentrar a atividade dos que amam a liberdade, a democracia, o Estado de Direito e o bem do país."
A CULPA DOS QUE SE CALAM,14/02/2022,"Quem cala consente com que o mal seja servido a si, aos seus e aos demais."
A MÍDIA MILITANTE E O CAOS INSTITUCIONAL,07/02/2022,"O silêncio da mídia referenda práticas que ferem a liberdade, atemorizam a sociedade, desequilibram e desarmonizam as instituições."
NÃO SOMOS OVELHINHAS,03/02/2022, nação não é rebanho de nenhum poder de Estado.
"VAI UM CHARUTO AÍ, COMPANHEIRO?",31/01/2022,Efeitos ruinosos de uma economia estatizada e uma esquisitice na caixa preta do BNDES.
A TRAGÉDIA PARTIDÁRIA BRASILEIRA,24/01/2022,O Brasil funcionaria muito melhor se os partidos cumprissem seu papel.
BONIFÁCIO OU MARIGHELLA? ELIS OU ANITTA?,21/01/2022,Muitos dos nossos problemas se  resolvem com amor à pátria e com a derrota política dos que odeiam o amor à pátria.
OS PASSOS DA TIRANIA,17/01/2022,"Sinais sutis, mas visíveis, de que a tirania se vai instalando no país."
A ELEIÇÃO BRASILEIRA INTERESSA À HUMANIDADE,13/01/2022,"Há valores universais em jogo nesta eleição e isso, de modo explícito ou implícito, determina condutas e acontecimentos desde o pleito anterior."
CONSERVADORES!,10/01/2022,O indispensável papel dos conservadores brasileiros num momento crucial da civilização.
RÉVEILLON DA BANDIDAGEM NO RIO,03/01/2022,"Enquanto espocavam os fogos de artifício, na hora zero do novo ano, bandos de malfeitores atacaram o público. Que diabo é isso?"
